id,sex,age,censor,colony,dist
1275,NA,5,alive,ramsey,0
1104,M,1,dead,ramsey,2.16
1105,F,1,alive,ramsey,0
1121,F,6,alive,skomer,0
1185,M,1,alive,skomer,1.38
1122,M,8,alive,skomer,0
1119,M,4,alive,skomer,0
1120,M,3,alive,skomer,0
1135,F,2,alive,skomer,1.52
1136,F,2,alive,skomer,1.52
1137,M,7,alive,skomer,292.0443691
1138,F,4,alive,ramsey,17.4427625
1167,M,1,alive,ramsey,0
1168,F,7,alive,ramsey,3.17
1175,M,4,dead,ramsey,16.7131891
1179,F,4,alive,npembs,0
1183,M,16,alive,skomer,342.8724782
1242,F,24,alive,ramsey,53.920344
1186,M,4,alive,skomer,1.52
1132,M,7,alive,ramsey,3.37
1134,F,5,alive,ramsey,4.21
1200,M,4,dead,ramsey,227.7776463
1202,F,4,alive,npembs,0
1205,M,3,alive,npembs,13.4960596
1208,M,6,alive,skomer,1.52
1220,M,14,alive,npembs,0
1225,F,6,alive,skomer,66.553683
1227,F,3,dead,ramsey,60.7895269
1231,F,2,dead,ramsey,36.1154755
1233,M,8,alive,npembs,44.3834768
1255,NA,5,dead,ramsey,15.3836298
1194,M,4,alive,ramsey,0
1197,F,6,alive,ramsey,53.1482476
1063,M,3,dead,ramsey,86.3181454
1064,F,9,alive,ramsey,456.2290982
1060,F,21,dead,ramsey,392.4356327
1084,M,5,alive,npembs,0
1293,F,1,alive,ramsey,0
1295,M,8,dead,skomer,20.6068194
1300,M,20,dead,ramsey,17.8484503
1301,F,8,alive,ramsey,1.41
1332,F,1,alive,ramsey,0
1310,M,4,alive,ramsey,0
1311,M,1,alive,ramsey,0
1313,F,5,dead,ramsey,224.4193933
1314,M,1,alive,ramsey,0
1316,F,5,alive,ramsey,0
1319,F,3,alive,ramsey,0
1320,F,8,alive,ramsey,0
1324,M,21,alive,ramsey,0
1327,M,8,dead,npembs,233.9898366
1328,F,1,alive,ramsey,0
1329,F,6,alive,ramsey,0
1331,M,1,alive,ramsey,0
1372,F,8,dead,ramsey,184.4366192
1333,F,2,alive,ramsey,0
1336,F,10,alive,ramsey,0
1338,F,10,alive,ramsey,0
1339,F,2,alive,ramsey,0
1341,M,2,alive,ramsey,0
1352,M,1,alive,ramsey,0
1353,F,4,alive,ramsey,0
1354,M,14,alive,ramsey,0
1359,F,1,alive,ramsey,0
1361,F,6,alive,ramsey,0
1367,F,3,dead,npembs,460.9052878
1370,M,3,dead,ramsey,0
1266,M,8,alive,npembs,0
1396,F,3,alive,ramsey,119.9278848
1260,F,4,dead,npembs,93.7454675
1264,F,5,alive,npembs,0
1288,F,2,alive,skomer,0.719
1267,F,5,alive,npembs,0
1269,M,9,alive,npembs,0
1400,M,4,alive,ramsey,6.04
1290,M,1,alive,skomer,0
1309,F,1,alive,skomer,0
1417,M,5,alive,ramsey,0
1422,F,1,dead,ramsey,0
1424,F,7,alive,ramsey,4.02
1426,M,7,alive,ramsey,0
1435,M,10,alive,ramsey,0
1436,M,7,alive,ramsey,0
1444,F,4,NA,ramsey,0
1445,F,2,dead,ramsey,4.86
1446,F,1,alive,ramsey,108.0070653
1452,M,8,alive,ramsey,0
1454,M,2,alive,ramsey,0
1455,F,4,alive,skomer,0.168
1457,M,16,alive,skomer,3.96
1461,F,1,alive,skomer,0
1471,F,8,dead,ramsey,4.57
1477,F,1,dead,ramsey,0
1478,M,10,dead,ramsey,110.9609541
1481,F,3,dead,ramsey,529.7692781
1485,M,4,alive,ramsey,0
1491,F,2,dead,ramsey,0
1493,F,16,dead,npembs,84.5602336
1497,F,7,alive,ramsey,0
1500,F,2,dead,ramsey,0
1501,F,10,dead,ramsey,33.9255357
1515,M,8,alive,skomer,78.2110105
1516,M,4,alive,skomer,0
1517,F,3,alive,skomer,0
1518,F,2,alive,skomer,0
1525,M,3,alive,ramsey,0
1526,F,18,alive,ramsey,0
1527,F,2,alive,ramsey,0
1528,F,2,alive,ramsey,0
1529,F,2,alive,ramsey,0
1530,F,1,alive,ramsey,0
1533,M,14,dead,ramsey,93.564561
1550,M,7,alive,ramsey,0
1556,F,5,alive,skomer,0
1557,M,22,alive,skomer,0
1563,F,14,alive,npembs,0
1575,M,5,alive,ramsey,0
1811,F,3,alive,npembs,0
1680,F,4,alive,npembs,0
1686,F,5,dead,ramsey,163.6783214
1692,F,14,alive,ramsey,86.7039864
1693,F,5,dead,ramsey,15.0150518
1702,F,7,alive,ramsey,1.73
1626,M,3,alive,skomer,0
1852,M,4,dead,skomer,12.9396881
1853,M,1,alive,skomer,39.9217086
1716,M,16,alive,ramsey,964.3041191
1668,M,1,NA,ramsey,97.3056053
1675,M,3,alive,npembs,40.6413826
1676,F,5,alive,npembs,21.1255944
1677,M,21,alive,npembs,0
1736,F,4,alive,ramsey,0
1737,M,5,alive,ramsey,0
1738,F,4,alive,ramsey,0
1742,F,24,alive,ramsey,54.8418391
1751,F,1,alive,ramsey,237.0891821
1707,M,1,alive,ramsey,0
1709,F,4,alive,ramsey,0
1710,F,9,alive,ramsey,81.857024
1768,M,8,alive,npembs,261.9948496
1717,M,5,alive,ramsey,0
1718,M,1,alive,ramsey,0
1732,F,4,alive,ramsey,190.33015
1734,F,5,alive,ramsey,0
1797,M,42,dead,npembs,261.1710938
1753,F,7,alive,ramsey,0
1756,F,6,alive,ramsey,0
1758,M,6,alive,ramsey,0
1774,F,5,alive,npembs,185.1520281
1776,F,1,alive,ramsey,0
1778,F,10,alive,npembs,0
1828,F,4,alive,skomer,17.1945514
1832,M,2,dead,skomer,185.8766988
1847,M,7,dead,skomer,20.6068194
1850,F,21,dead,skomer,16.7830057
1841,M,1,dead,skomer,0.228
1845,M,12,alive,skomer,15.3520024
1861,M,3,alive,ramsey,0
1862,M,1,alive,ramsey,0
1863,F,3,alive,ramsey,0
1864,M,1,alive,ramsey,0
1876,F,5,dead,ramsey,15.7149625
1878,M,1,alive,ramsey,0
1879,M,1,alive,ramsey,64.5305724
1886,F,14,alive,ramsey,0
1887,F,1,alive,ramsey,0
1890,M,6,alive,ramsey,0
1902,M,5,alive,ramsey,88.4764148
1903,M,3,alive,ramsey,137.2107972
1909,M,14,alive,ramsey,0
1915,M,3,alive,ramsey,0
1916,F,3,alive,ramsey,0
1917,M,1,alive,ramsey,0
1918,F,8,alive,ramsey,0
1920,M,1,alive,ramsey,0
1921,F,7,alive,ramsey,0
1922,M,3,alive,ramsey,0
1923,F,1,alive,ramsey,0
1924,F,5,dead,ramsey,0
1928,F,12,dead,ramsey,117.4408255
1929,F,21,dead,ramsey,141.1043066
1932,F,1,alive,ramsey,0
1937,M,3,alive,ramsey,0
1978,M,7,alive,ramsey,0
1960,M,30,dead,ramsey,3.9615504
1963,F,9,alive,ramsey,16.075328
